Security,SPY,EEM,REET,ALTY,IPO,VBK,PSP,IGEB,TLH,VYM
SPY,14.6,14.959,16.127,9.932,24.414,18.664,18.774,7.38,11.973,11.356
EEM,14.959,27.637,19.936,13.306,25.897,19.493,24.239,9.942,14.853,13.591
REET,16.127,19.936,27.382,14.75,28.614,25.193,29.861,11.287,18.185,16.364
ALTY,9.932,13.306,14.75,9.217,16.155,14.303,17.916,6.696,10.304,9.555
IPO,24.414,25.897,28.614,16.155,69.671,41.149,35.283,10.026,16.86,17.018
VBK,18.664,19.493,25.193,14.303,41.149,31.567,31.157,9.8,16.307,16.033
PSP,18.774,24.239,29.861,17.916,35.283,31.157,43.548,12.625,18.966,19.209
IGEB,7.38,9.942,11.287,6.696,10.026,9.8,12.625,6.076,9.806,6.809
TLH,11.973,14.853,18.185,10.304,16.86,16.307,18.966,9.806,16.604,10.48
VYM,11.356,13.591,16.364,9.555,17.018,16.033,19.209,6.809,10.48,13.086
