date,SPY US Equity,EEM US Equity,REET US Equity,ALTY US Equity,IPO US Equity,VBK US Equity,PSP US Equity,IGEB US Equity,TLH US Equity,VYM US Equity,TLT US Equity
2017-10-02,1.9572,0.8555,3.467,6.951,0.2347,0.5408,13.8963,3.2702,1.83,2.9535,2.437
2017-10-03,1.953,0.8421,3.4684,6.9488,0.2338,0.5392,13.8702,3.2607,1.8276,2.9477,2.4346
2017-10-04,1.9507,0.8423,3.463,6.9377,0.2338,0.5384,13.8201,3.2607,1.8279,2.9445,2.4344
2017-10-05,1.9392,0.8361,3.4576,6.9158,0.2316,0.5373,13.8092,3.2607,1.8317,2.933,2.4436
2017-10-06,1.9414,0.8403,3.4698,6.9488,0.232,0.5371,13.7661,3.2665,1.8354,2.9391,2.4506
2017-10-09,1.9446,0.8408,3.4684,6.951,0.2315,0.539,13.7769,3.2612,1.8316,2.9391,2.4429
2017-10-10,1.9395,0.8326,3.4495,6.9289,0.23,0.5392,13.7233,3.2612,1.8299,2.923,2.4389
2017-10-11,1.9364,0.8288,3.4388,6.9349,0.2284,0.5382,13.6701,3.2612,1.8293,2.9206,2.4342
2017-10-12,1.9393,0.8292,3.4268,6.9314,0.2284,0.5377,13.6489,3.2543,1.8235,2.9245,2.4239
2017-10-13,1.937,0.8217,3.4123,6.9289,0.2289,0.5384,13.6384,3.2543,1.8155,2.9237,2.4066
2017-10-16,1.9344,0.8223,3.4255,6.9444,0.2283,0.5383,13.6068,3.2543,1.8183,2.9223,2.4083
2017-10-17,1.933,0.8265,3.4321,6.9554,0.2296,0.5389,13.6913,3.2543,1.8187,2.9195,2.4052
2017-10-18,1.9311,0.8246,3.4242,6.955,0.2291,0.5377,13.6278,3.2517,1.8253,2.9149,2.4212
2017-10-19,1.9306,0.8319,3.4401,6.9525,0.2308,0.5388,13.7233,3.2517,1.8229,2.9068,2.4169
2017-10-20,1.9207,0.8288,3.4522,6.9754,0.2259,0.5349,13.6701,3.2517,1.8335,2.8925,2.4429
2017-10-23,1.9282,0.8355,3.4711,6.9978,0.2282,0.5383,13.734,3.2517,1.8317,2.8995,2.4385
2017-10-24,1.9248,0.8355,3.4889,6.9643,0.2269,0.5379,13.7769,3.2517,1.8391,2.8984,2.4537
2017-10-25,1.9344,0.8373,3.5041,7.0744,0.2285,0.5416,13.7554,3.2678,1.8436,2.9163,2.4655
2017-10-26,1.9319,0.8431,3.518,7.0744,0.2278,0.5398,13.8201,3.263,1.847,2.91,2.4738
2017-10-27,1.9162,0.831,3.5055,7.0225,0.2266,0.5348,13.7876,3.2626,1.8413,2.9012,2.4575
2017-10-30,1.9234,0.8363,3.5125,7.0461,0.226,0.5371,13.8092,3.2626,1.8307,2.9202,2.4342
2017-10-31,1.9204,0.8285,3.4999,7.0365,0.2241,0.5327,13.7554,3.2959,1.9311,2.9195,2.5365
2017-11-01,1.9179,0.8242,3.4958,7.076,0.2242,0.535,13.8201,3.2926,1.9317,2.9124,2.5306
2017-11-02,1.9171,0.8231,3.4738,7.1186,0.2275,0.5354,13.9127,3.2907,1.9258,2.9086,2.5195
2017-11-03,1.9107,0.8274,3.4817,7.0725,0.2262,0.5322,13.7984,3.2907,1.9225,2.9075,2.5126
2017-11-06,1.9078,0.8182,3.4698,7.1135,0.2249,0.5302,13.8092,3.2907,1.919,2.9124,2.5033
2017-11-07,1.9091,0.8235,3.4471,7.0955,0.2283,0.5335,13.8854,3.2874,1.9169,2.911,2.4928
2017-11-08,1.9059,0.8196,3.4295,7.0487,0.2291,0.5319,13.8637,3.2874,1.9202,2.9047,2.4983
2017-11-09,1.9128,0.8247,3.4228,7.0923,0.2298,0.5357,14.0401,3.2874,1.9233,2.9145,2.5055
2017-11-10,1.9134,0.8283,3.4255,7.0978,0.2284,0.5349,14.0737,3.2874,1.9376,2.9181,2.5438
2017-11-13,1.9116,0.8301,3.4189,7.0863,0.2297,0.5348,14.2904,3.311,1.9366,2.9145,2.5385
2017-11-14,1.9161,0.8357,3.4202,7.1024,0.2309,0.5368,14.2098,3.3136,1.9315,2.9174,2.5215
2017-11-15,1.9257,0.8401,3.4374,7.128,0.2309,0.5398,14.3136,3.3136,1.9207,2.933,2.4944
2017-11-16,1.9095,0.823,3.4136,7.1242,0.2271,0.5323,14.1756,3.3018,1.9295,2.911,2.5162
2017-11-17,1.9151,0.8189,3.4123,7.0817,0.2249,0.5299,14.1756,3.3024,1.9244,2.9202,2.4977
2017-11-20,1.9118,0.8148,3.4175,7.0634,0.2232,0.5272,14.1257,3.3024,1.9268,2.9142,2.4987
2017-11-21,1.8994,0.804,3.4031,7.0655,0.221,0.5215,14.085,3.3024,1.926,2.9026,2.4908
2017-11-22,1.9011,0.802,3.4005,7.0534,0.2191,0.5215,13.9956,3.3024,1.9199,2.9044,2.4828
2017-11-24,1.8967,0.8037,3.394,,0.2177,0.5198,13.9573,3.3024,1.9227,2.9005,2.4896
2017-11-27,1.8977,0.8156,3.4026,7.0702,0.2236,0.5228,14.0513,3.3024,1.9222,2.8998,2.4932
2017-11-28,1.8786,0.8096,3.4123,7.0588,0.2225,0.5185,14.0178,3.3024,1.9215,2.8643,2.4898
2017-11-29,1.8798,0.8226,3.4123,7.0869,0.2275,0.5209,14.0625,3.3024,1.9308,2.8497,2.5146
2017-11-30,1.8634,0.8317,3.4031,7.0978,0.2261,0.5168,14.085,3.3089,1.8729,2.8326,2.4428
2017-12-01,1.8673,0.8364,3.394,7.1607,0.2277,0.5186,14.1188,3.318,1.8628,2.8333,2.4152
2017-12-04,1.8696,0.8348,3.4018,7.1186,0.229,0.5233,14.1301,3.318,1.8644,2.8266,2.4141
2017-12-05,1.8763,0.8353,3.4228,7.1437,0.2286,0.5267,14.2673,3.3,1.8593,2.839,2.4021
2017-12-06,1.876,0.8468,3.4281,,0.2285,0.5295,14.3136,3.2945,1.8551,2.8403,2.3938
2017-12-07,1.8701,0.8444,3.4215,7.1186,0.2266,0.5244,14.2443,3.2945,1.8618,2.8379,2.4127
2017-12-08,1.8599,0.8346,3.4031,7.114,0.2255,0.5226,14.1415,3.2945,1.8638,2.822,2.4125
2017-12-11,1.8543,0.8305,3.4083,7.1163,0.2237,0.5234,14.1188,3.2945,1.8649,2.8121,2.4175
2017-12-12,1.8511,0.8361,3.3849,7.1279,0.2241,0.5253,14.1415,3.3048,1.8676,2.8055,2.4185
2017-12-13,1.8513,0.8262,3.3707,7.1094,0.2252,0.5231,14.085,3.3048,1.8583,2.8029,2.4004
2017-12-14,2.0347,0.8323,3.3746,7.121,,0.5267,14.0962,3.3048,1.8566,2.82,2.3903
2017-12-15,2.0282,0.8305,3.3567,7.0955,,0.521,11.5811,3.3048,1.8549,2.7967,2.3813
2017-12-18,2.0154,2.9837,3.3327,7.0986,,0.5156,11.7604,3.2932,1.8628,2.7838,2.4032
2017-12-19,2.0232,3.045,3.3797,7.0955,,1.3796,11.7796,3.2932,1.8765,2.9828,2.4348
2017-12-20,2.0242,3.041,3.6276,7.1513,,1.3774,11.7508,4.387,2.1142,2.9853,2.5284
2017-12-21,2.0201,3.0212,3.6743,7.1382,,1.3775,11.609,4.4031,2.1133,3.0034,2.519
2017-12-22,2.0206,2.9959,3.66,7.1396,,1.3772,11.6418,4.4031,2.1112,3.002,2.5156
2017-12-26,2.023,2.9985,3.6458,7.1238,,1.3752,11.6559,4.4031,2.1085,3.0037,2.5082
2017-12-27,2.022,2.9908,0.2712,9.9339,,1.3737,11.5904,4.4031,2.094,3.0006,2.4759
2017-12-28,2.0179,2.9703,0.27,9.9922,,1.3694,11.5997,4.4031,2.0966,2.9953,2.4781
2017-12-29,2.0255,2.9565,0.27,9.9599,,1.3782,11.5904,4.4031,2.0944,3.0041,2.4742
2018-01-02,2.0111,2.9017,0.2704,9.9794,,1.3659,11.4342,4.4031,2.104,2.9939,2.5012
2018-01-03,1.9985,2.8741,0.27,9.9208,,1.3583,11.3891,4.4031,2.1001,2.9842,2.4893
2018-01-04,1.9901,2.86,0.2738,9.9145,,1.3593,11.3088,4.3805,2.1005,2.9711,2.4897
2018-01-05,1.9769,2.8355,0.2732,9.9025,,1.3532,11.2383,4.3844,2.1042,2.9578,2.4968
2018-01-08,1.9733,2.8355,0.2728,9.8887,,1.3501,11.2208,4.3792,2.1057,2.9524,2.4984
2018-01-09,1.9689,2.8402,0.2744,9.9442,,1.3496,11.2121,4.3792,2.1222,2.9473,2.5322
2018-01-10,1.9719,2.8582,0.2774,10.0056,,1.3535,11.2296,4.3923,2.1238,2.9524,2.5353
2018-01-11,1.9576,2.8407,0.2782,9.9386,,1.3365,11.1558,4.3844,2.1203,2.9328,2.5249
2018-01-12,1.9449,2.8138,0.2786,9.8631,,1.3314,11.0069,4.3844,2.1198,2.9166,2.5206
2018-01-16,1.9516,2.8246,0.2785,9.8631,,1.3472,11.0321,4.3844,2.1162,2.9248,2.5102
2018-01-17,1.9332,2.7879,0.2762,9.8695,,1.3357,10.9901,4.3879,2.1206,2.8942,2.5136
2018-01-18,1.9364,2.7845,0.278,9.908,,1.3378,11.0237,4.3879,2.1322,2.9037,2.5371
2018-01-19,1.9277,2.7619,0.2771,9.9062,,1.3237,10.9734,4.4107,2.1396,2.8942,2.5506
2018-01-22,1.9121,2.7461,0.2748,9.8503,,1.3104,10.8742,4.4177,2.1394,2.87,2.5481
2018-01-23,1.9081,2.7332,0.2721,9.8035,,1.3038,10.8171,4.4177,2.1317,2.8732,2.5371
2018-01-24,1.9088,2.7103,0.2722,9.8187,,1.3099,10.7286,4.4177,2.1386,2.8745,2.551
2018-01-25,1.908,2.7119,0.2729,9.7992,,1.3099,10.7526,4.4177,2.1305,2.8703,2.5302
2018-01-26,1.8862,2.6749,0.2725,9.7886,,1.3015,10.6731,4.4177,2.1375,2.8296,2.5396
2018-01-29,1.8987,2.7161,0.2761,9.8887,,1.3092,10.7767,4.4107,2.1455,2.8481,2.5574
2018-01-30,1.9184,2.7537,0.2781,9.9794,,1.3235,10.8578,4.4107,2.1532,2.8845,2.5725
2018-01-31,1.9175,2.73,0.2742,9.9533,,1.3267,10.8252,3.1511,1.9001,2.8855,2.4889
2018-02-01,1.9196,2.7674,0.2784,9.9696,,1.323,10.7526,3.1594,1.9181,2.8881,2.5307
2018-02-02,1.9624,2.8402,0.2823,7.3515,,1.3477,10.9901,3.1594,1.9276,2.9507,2.5545
2018-02-05,2.048,2.9434,0.2917,7.6146,,1.3976,11.535,3.1803,1.9112,3.0811,2.5305
2018-02-06,2.0084,2.8506,0.2896,7.526,,1.382,11.4252,3.1803,1.9215,3.0378,2.5464
2018-02-07,2.0194,2.9434,0.2919,7.4807,,1.3843,11.4026,3.179,1.9325,3.0439,2.5708
