date,SPY US Equity,EEM US Equity,REET US Equity,ALTY US Equity,IPO US Equity,VBK US Equity,PSP US Equity,IGEB US Equity,TLH US Equity,VYM US Equity,TLT US Equity
2017-10-02,252.32,44.82,25.55,15.71,26.7797,153.84,63.45,50.4126,136.16,81.53,124.28
2017-10-31,257.15,46.28,25.31,15.519,28.04,156.19,64.1,50.53,136.1,82.48,124.46
2017-11-30,265.01,46.1,26.03,15.4757,27.7953,160.98,62.6,50.5684,135.8984,85.01,125.3839
2017-12-29,268.2131,47.8374,26.3659,15.6109,28.2089,161.4039,64.0802,50.5876,136.6807,86.2729,127.6508
2018-01-31,283.3294,51.8069,25.9616,15.6212,28.334,167.6654,68.6096,50.5007,133.1232,89.8194,123.495
2018-02-28,273.0274,48.7511,24.2538,14.8681,28.4,162.3171,64.8523,49.7128,131.0411,85.5778,119.7422
2018-03-29,265.5422,49.0151,25.0833,14.9537,28.7392,164.7501,63.5022,49.6541,133.3486,83.7232,123.1647
2018-04-30,266.9146,47.6344,25.3284,15.2425,28.6492,165.1722,64.3461,49.0033,131.2079,83.8349,120.5928
2018-05-31,273.403,46.3856,25.9208,15.6392,29.1497,174.7889,63.9241,49.3316,132.777,85.1746,123.0111
2018-06-29,274.9765,44.2802,26.5415,15.6638,29.8544,176.8949,63.7146,49.0512,133.1379,84.925,123.8067
2018-07-31,285.1634,45.8437,26.7794,16.1347,29.6337,178.6055,66.2674,49.5769,131.9598,88.4018,122.0279
2018-08-31,294.2658,44.1167,27.2035,16.3545,30.8275,191.1129,66.7461,49.8088,133.525,89.3835,123.6259
2018-09-28,296.0162,43.8612,26.6281,16.2178,30.3926,188.7739,66.8439,49.5621,131.0665,89.7435,120.0917
2018-10-31,275.5602,40.0187,25.7306,15.5386,26.5333,167.1776,60.0508,48.8403,129.6484,85.7968,116.5742
2018-11-30,280.6716,41.9808,26.702,15.8153,26.4319,170.4831,59.3986,48.8025,131.7975,88.847,118.657
2018-12-31,255.9905,40.5119,24.9793,14.6463,23.3465,152.2227,54.3989,49.5484,137.1891,81.1718,125.5985
2019-01-31,276.4865,44.7021,27.8271,16.1561,27.5421,171.3377,60.3768,50.7925,137.7954,86.126,126.074
2019-02-28,285.449,44.0175,27.9124,16.4222,30.4378,181.2541,62.0615,50.919,136.6933,89.3733,124.3403
2019-03-29,290.6097,44.5154,28.7861,16.5906,30.6812,181.9146,62.2246,52.2218,142.0065,89.8423,131.271
2019-04-30,302.4818,45.5629,28.5921,16.8968,31.5607,187.8664,65.757,52.3807,140.3279,92.3909,128.6615
2019-05-31,283.1922,42.2232,28.4952,16.4113,29.8945,175.9021,62.2246,53.2223,146.8225,86.5595,137.4597
2019-06-28,302.9002,44.8435,29.0218,17.041,31.781,188.7298,65.7917,54.7841,148.5713,92.312,138.7634
2019-07-31,307.4799,43.6521,29.1306,17.3213,32.5946,192.0441,65.5713,54.9922,149.0263,92.9775,139.1201
2019-08-30,302.3317,42.0009,29.925,16.9122,30.8149,187.5034,64.855,56.7055,158.9331,91.0231,154.4856
2019-09-30,308.2208,42.7116,30.8402,17.3686,28.3493,184.7102,66.3178,56.5502,156.0666,94.574,150.3454
2019-10-31,315.0339,44.4986,31.5101,17.3571,29.8286,187.5209,68.0571,56.8091,155.3018,95.5652,148.6711
2019-11-29,326.4375,44.4568,31.1477,17.3247,31.5969,199.0779,70.3575,56.917,154.1124,97.8035,148.0662
2019-12-31,335.9152,47.885,31.0723,17.7871,31.3741,202.0687,73.8341,57.1941,151.0548,100.7128,143.3339
2020-01-31,335.7795,44.9396,31.3198,17.8051,33.0583,201.428,74.0073,58.5605,159.7325,98.1872,154.3579
2020-02-28,309.1973,43.2427,28.7998,16.1257,31.5657,187.8212,66.5604,58.9434,167.3903,88.6651,164.5866
2020-03-31,270.6581,36.4234,21.8504,10.7139,26.6382,153.069,48.3159,54.7054,176.8438,76.5672,175.0839
2020-04-30,305.0272,39.102,23.231,12.5358,31.2093,178.2445,55.1639,58.0696,177.6539,84.4241,177.2146
2020-05-29,319.5604,40.2653,23.4021,13.4673,37.1458,197.564,59.6816,59.4309,176.8867,86.8158,174.0905
2020-06-30,325.236,42.9273,24.0242,13.5591,40.8978,203.4115,62.3487,61.0468,177.2056,86.1543,174.6783
2020-07-31,344.3899,46.4697,24.7951,13.6522,44.8184,215.3247,64.3348,62.6462,182.1666,88.8009,182.4256
2020-08-31,368.4272,47.8115,25.1518,13.9811,48.9883,222.7029,68.1864,61.6294,175.5079,91.6333,173.2205
2020-09-30,354.6486,47.3285,24.4252,13.6315,52.8718,219.344,66.1324,61.5067,176.8449,89.2845,174.5579
2020-10-30,345.806,47.994,23.6702,13.4084,51.2537,221.232,65.6457,61.541,171.8782,87.751,168.6485
2020-11-30,383.4216,52.3093,26.69,15.0414,65.2099,252.6747,76.2926,63.2246,173.6975,98.5075,171.4538
